Date : 2023-03-05 16:05:46
Directory : e:\Graphics\Toy\SoftRenderer
Total : 1984 files,  433640 codes, 65246 comments, 59524 blanks, all 558410 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C++              |        938 |    226,050 |     53,638 |     40,968 |    320,656 |
| HTML             |        699 |    143,956 |      3,478 |      6,891 |    154,325 |
| C                |         71 |     29,572 |      4,084 |      5,981 |     39,637 |
| Markdown         |         34 |      6,097 |          0 |      2,053 |      8,150 |
| JavaScript       |         96 |      5,238 |        104 |        176 |      5,518 |
| JSON             |         13 |      3,922 |          0 |         11 |      3,933 |
| XML              |         21 |      3,809 |          8 |         21 |      3,838 |
| Python           |          8 |      3,417 |      2,747 |        794 |      6,958 |
| Objective-C      |          5 |      3,179 |        334 |        735 |      4,248 |
| CSS              |          5 |      2,702 |         98 |        530 |      3,330 |
| Objective-C++    |          6 |      1,997 |        374 |        448 |      2,819 |
| YAML             |         15 |      1,336 |        100 |        227 |      1,663 |
| CMake            |         19 |        569 |          0 |        122 |        691 |
| Makefile         |         20 |        492 |        215 |        212 |        919 |
| CMake Cache      |          1 |        441 |          0 |        107 |        548 |
| SCSS             |          1 |        330 |         28 |         92 |        450 |
| log              |          2 |        155 |          0 |         52 |        207 |
| Lua              |          4 |        149 |         16 |         44 |        209 |
| Batch            |         17 |        110 |         16 |         26 |        152 |
| Groovy           |          3 |         52 |          0 |         10 |         62 |
| Ini              |          1 |         22 |          0 |          6 |         28 |
| reStructuredText |          1 |         22 |          0 |          6 |         28 |
| Shell Script     |          3 |         20 |          6 |         11 |         37 |
| toml             |          1 |          3 |          0 |          1 |          4 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |      1,984 |    433,640 |     65,246 |     59,524 |    558,410 |
| 3rdparty                                                                                                              |      1,934 |    425,770 |     65,017 |     58,691 |    549,478 |
| 3rdparty\glfw                                                                                                         |        127 |     75,728 |     17,364 |     10,815 |    103,907 |
| 3rdparty\glfw (Files)                                                                                                 |          4 |        703 |          0 |         59 |        762 |
| 3rdparty\glfw\.github                                                                                                 |          1 |         81 |          0 |         14 |         95 |
| 3rdparty\glfw\.github\workflows                                                                                       |          1 |         81 |          0 |         14 |         95 |
| 3rdparty\glfw\CMake                                                                                                   |          7 |        116 |          0 |         26 |        142 |
| 3rdparty\glfw\CMake (Files)                                                                                           |          5 |         88 |          0 |         17 |        105 |
| 3rdparty\glfw\CMake\modules                                                                                           |          2 |         28 |          0 |          9 |         37 |
| 3rdparty\glfw\deps                                                                                                    |         15 |     37,180 |      6,542 |      3,307 |     47,029 |
| 3rdparty\glfw\deps (Files)                                                                                            |          8 |     21,748 |      5,776 |      2,297 |     29,821 |
| 3rdparty\glfw\deps\glad                                                                                               |          3 |     12,960 |        438 |        736 |     14,134 |
| 3rdparty\glfw\deps\mingw                                                                                              |          3 |      2,320 |        273 |        233 |      2,826 |
| 3rdparty\glfw\deps\vs2008                                                                                             |          1 |        152 |         55 |         41 |        248 |
| 3rdparty\glfw\docs                                                                                                    |          8 |      1,597 |         38 |        218 |      1,853 |
| 3rdparty\glfw\examples                                                                                                |         11 |      2,807 |        868 |        821 |      4,496 |
| 3rdparty\glfw\include                                                                                                 |          2 |        744 |      6,008 |        308 |      7,060 |
| 3rdparty\glfw\include\GLFW                                                                                            |          2 |        744 |      6,008 |        308 |      7,060 |
| 3rdparty\glfw\src                                                                                                     |         59 |     26,571 |      3,217 |      4,816 |     34,604 |
| 3rdparty\glfw\tests                                                                                                   |         20 |      5,929 |        691 |      1,246 |      7,866 |
| 3rdparty\glm                                                                                                          |      1,435 |    218,260 |     17,792 |     25,143 |    261,195 |
| 3rdparty\glm (Files)                                                                                                  |          4 |      3,099 |          0 |      1,064 |      4,163 |
| 3rdparty\glm\doc                                                                                                      |        796 |    151,793 |      3,676 |      7,592 |    163,061 |
| 3rdparty\glm\doc\api                                                                                                  |        795 |    150,579 |      3,630 |      7,355 |    161,564 |
| 3rdparty\glm\doc\api (Files)                                                                                          |        607 |    143,270 |      3,129 |      7,051 |    153,450 |
| 3rdparty\glm\doc\api\search                                                                                           |        188 |      7,309 |        501 |        304 |      8,114 |
| 3rdparty\glm\doc\theme                                                                                                |          1 |      1,214 |         46 |        237 |      1,497 |
| 3rdparty\glm\glm                                                                                                      |        427 |     40,532 |     13,213 |     10,272 |     64,017 |
| 3rdparty\glm\glm (Files)                                                                                              |         23 |      1,715 |      1,250 |        446 |      3,411 |
| 3rdparty\glm\glm\detail                                                                                               |         61 |     17,001 |      1,109 |      3,034 |     21,144 |
| 3rdparty\glm\glm\ext                                                                                                  |        170 |      4,316 |      4,098 |      1,739 |     10,153 |
| 3rdparty\glm\glm\gtc                                                                                                  |         37 |      5,101 |      3,265 |      2,041 |     10,407 |
| 3rdparty\glm\glm\gtx                                                                                                  |        126 |     10,973 |      3,106 |      2,697 |     16,776 |
| 3rdparty\glm\glm\simd                                                                                                 |         10 |      1,426 |        385 |        315 |      2,126 |
| 3rdparty\glm\test                                                                                                     |        208 |     22,836 |        903 |      6,215 |     29,954 |
| 3rdparty\glm\test\bug                                                                                                 |          1 |         23 |          2 |          7 |         32 |
| 3rdparty\glm\test\cmake                                                                                               |          1 |         19 |          0 |          4 |         23 |
| 3rdparty\glm\test\core                                                                                                |         55 |      9,034 |        297 |      2,336 |     11,667 |
| 3rdparty\glm\test\ext                                                                                                 |         58 |      4,451 |         17 |      1,302 |      5,770 |
| 3rdparty\glm\test\gtc                                                                                                 |         21 |      4,342 |        220 |      1,161 |      5,723 |
| 3rdparty\glm\test\gtx                                                                                                 |         66 |      4,286 |        367 |      1,165 |      5,818 |
